UTC_Time,YEAR,DOY,Hour,Scalar_B_nT,SW_Proton_Density_N_cm3,Kp_index,Dst_index_nT,Datetime,UTC,PCN,heat_flux,integral_heat_flux,energy
2024-10-10 12:00:00,2024,284,12,6.3,3.7,37,-6,2024-10-10 12:00:00,,2.2778688524590165,71.98357673340502,0.0,0.0
2024-10-10 13:00:00,2024,284,13,8.0,4.6,37,-12,2024-10-10 13:00:00,,4.764590163934427,191.29814843751686,131.64086258546092,131.64086258546092
2024-10-10 14:00:00,2024,284,14,8.8,5.3,37,-13,2024-10-10 14:00:00,,2.384918032786885,73.67962385487772,132.48888614619727,264.1297487316582
2024-10-10 15:00:00,2024,284,15,18.3,16.7,77,47,2024-10-10 15:00:00,,-0.5645901639344262,9.617829421123353,41.64872663800054,305.77847536965874
2024-10-10 16:00:00,2024,284,16,30.3,33.2,77,12,2024-10-10 16:00:00,,19.315573770491806,1758.142271331632,883.8800503763777,1189.6585257460365
2024-10-10 17:00:00,2024,284,17,32.0,34.0,77,-50,2024-10-10 17:00:00,,16.441147540983607,1314.2318059986565,1536.1870386651442,2725.845564411181
2024-10-10 18:00:00,2024,284,18,26.9,30.0,83,-112,2024-10-10 18:00:00,,9.985901639344261,561.4842613910239,937.8580336948402,3663.703598106021
2024-10-10 19:00:00,2024,284,19,32.4,21.2,83,-176,2024-10-10 19:00:00,,10.897049180327869,650.4543257575922,605.969293574308,4269.6728916803295
2024-10-10 20:00:00,2024,284,20,30.7,29.3,83,-201,2024-10-10 20:00:00,,8.427213114754098,430.11594463208814,540.2851351948402,4809.95802687517
2024-10-10 21:00:00,2024,284,21,19.8,35.5,87,-220,2024-10-10 21:00:00,,12.728524590163934,851.6852804557915,640.9006125439398,5450.85863941911
2024-10-10 22:00:00,2024,284,22,38.1,17.8,87,-243,2024-10-10 22:00:00,,14.814262295081965,1106.0371611795215,978.8612208176564,6429.719860236766
2024-10-10 23:00:00,2024,284,23,43.7,7.3,87,-303,2024-10-10 23:00:00,,10.616721311475409,662.0910639355011,884.0641125575113,7313.783972794277
2024-10-11 00:00:00,2024,285,0,40.6,6.0,83,-308,2024-10-11 00:00:00,,8.569180327868851,479.70210194678845,570.8965829411447,7884.680555735422
2024-10-11 01:00:00,2024,285,1,36.9,8.9,83,-333,2024-10-11 01:00:00,,10.404098360655736,657.877853997581,568.7899779721847,8453.470533707607
2024-10-11 02:00:00,2024,285,2,34.8,5.1,83,-296,2024-10-11 02:00:00,,6.834754098360655,339.4753043332437,498.67657916541236,8952.147112873019
2024-10-11 03:00:00,2024,285,3,34.1,3.4,77,-283,2024-10-11 03:00:00,,8.083934426229508,428.1561135726955,383.8157089529696,9335.96282182599
2024-10-11 04:00:00,2024,285,4,33.8,3.7,77,-276,2024-10-11 04:00:00,,4.54295081967213,184.5549972330018,306.35555540284867,9642.318377228838
2024-10-11 05:00:00,2024,285,5,33.3,2.9,77,-270,2024-10-11 05:00:00,,6.0445901639344255,273.6912587325987,229.12312798280027,9871.441505211638
2024-10-11 06:00:00,2024,285,6,28.7,5.1,77,-271,2024-10-11 06:00:00,,5.430819672131149,234.79846752055906,254.24486312657888,10125.686368338218
2024-10-11 07:00:00,2024,285,7,29.3,5.0,77,-261,2024-10-11 07:00:00,,4.215901639344263,160.7140406205322,197.75625407054562,10323.442622408764
2024-10-11 08:00:00,2024,285,8,26.1,5.2,77,-244,2024-10-11 08:00:00,,7.729180327868852,385.35747768449335,273.03575915251275,10596.478381561277
2024-10-11 09:00:00,2024,285,9,22.1,7.0,77,-259,2024-10-11 09:00:00,,9.922786885245905,577.1640611074984,481.26076939599585,11077.739150957274
2024-10-11 10:00:00,2024,285,10,20.0,8.7,77,-224,2024-10-11 10:00:00,,7.247213114754099,342.90748836979316,460.0357747386457,11537.77492569592
2024-10-11 11:00:00,2024,285,11,11.2,5.8,77,-209,2024-10-11 11:00:00,,4.751147540983606,175.06286637570543,258.98517737274926,11796.76010306867
2024-10-11 12:00:00,2024,285,12,10.3,3.9,63,-189,2024-10-11 12:00:00,,0.6940983606557377,-4.989547461435087,85.03665945713517,11881.796762525804
2024-10-11 13:00:00,2024,285,13,9.7,4.7,63,-179,2024-10-11 13:00:00,,3.7672131147540986,116.83179518946523,55.92112386401507,11937.717886389819
2024-10-11 14:00:00,2024,285,14,9.8,5.9,63,-169,2024-10-11 14:00:00,,4.942950819672132,179.89726706906748,148.36453112926637,12086.082417519085
2024-10-11 15:00:00,2024,285,15,10.2,4.4,40,-146,2024-10-11 15:00:00,,1.348360655737705,11.874337442891704,95.8858022559796,12181.968219775064
2024-10-11 16:00:00,2024,285,16,9.9,5.8,40,-134,2024-10-11 16:00:00,,0.8455737704918033,-4.5215358978769125,3.676400772507396,12185.644620547571
2024-10-11 17:00:00,2024,285,17,9.9,4.6,40,-118,2024-10-11 17:00:00,,1.0324590163934424,1.8388681440473,-1.3413338769148062,12184.303286670656
2024-10-11 18:00:00,2024,285,18,10.1,3.9,30,-109,2024-10-11 18:00:00,,0.8431147540983608,-3.4594008844396598,-0.8102663701961799,12183.49302030046
