UTC_Time,YEAR,DOY,Hour,Scalar_B_nT,SW_Proton_Density_N_cm3,Kp_index,Dst_index_nT,Datetime,UTC,PCN,heat_flux
2024-05-01 00:00:00,2024,122,0,11.5,13.6,37,-27,2024-05-01 00:00:00,,4.410322580645161,166.12415238709679
2024-05-01 01:00:00,2024,122,1,11.4,11.7,37,-33,2024-05-01 01:00:00,,3.934918032786885,138.84261737946787
2024-05-01 02:00:00,2024,122,2,11.1,12.6,37,-28,2024-05-01 02:00:00,,2.345737704918033,66.8448866221446
2024-05-01 03:00:00,2024,122,3,10.7,16.9,20,-15,2024-05-01 03:00:00,,-0.006885245901639345,-5.983712113947862
2024-05-01 04:00:00,2024,122,4,11.7,14.7,20,-14,2024-05-01 04:00:00,,-0.6286885245901639,-19.74625739720505
2024-05-01 05:00:00,2024,122,5,13.1,7.7,20,-14,2024-05-01 05:00:00,,-1.0255737704918033,-27.385887832303144
2024-05-01 06:00:00,2024,122,6,12.8,7.8,17,-17,2024-05-01 06:00:00,,-0.6173770491803279,-20.603278178984144
2024-05-01 07:00:00,2024,122,7,13.3,4.2,17,-14,2024-05-01 07:00:00,,-0.3209836065573771,-13.083948045149153
2024-05-01 08:00:00,2024,122,8,12.9,6.3,17,-11,2024-05-01 08:00:00,,-0.09163934426229504,-6.580766884977155
2024-05-01 09:00:00,2024,122,9,13.1,6.0,3,-9,2024-05-01 09:00:00,,0.2173770491803279,2.003146739048644
2024-05-01 10:00:00,2024,122,10,13.3,4.6,3,-11,2024-05-01 10:00:00,,0.740983606557377,15.986865331900026
2024-05-01 11:00:00,2024,122,11,13.2,5.4,3,-11,2024-05-01 11:00:00,,1.7647540983606556,50.21618697258801
2024-05-01 12:00:00,2024,122,12,13.3,4.9,10,-12,2024-05-01 12:00:00,,1.6718032786885249,46.4378819575383
2024-05-01 13:00:00,2024,122,13,13.3,3.9,10,-13,2024-05-01 13:00:00,,0.35786885245901645,4.267574831765656
2024-05-01 14:00:00,2024,122,14,13.2,4.8,10,-14,2024-05-01 14:00:00,,-1.04,-27.643344
2024-05-01 15:00:00,2024,122,15,12.9,6.9,10,-9,2024-05-01 15:00:00,,-3.0516393442622953,-47.76816911448535
2024-05-01 16:00:00,2024,122,16,12.6,7.2,10,-4,2024-05-01 16:00:00,,-4.143606557377049,-46.202456432141894
2024-05-01 17:00:00,2024,122,17,12.1,10.6,10,1,2024-05-01 17:00:00,,-4.9937704918032795,-38.845741439398005
2024-05-01 18:00:00,2024,122,18,12.7,5.2,20,-2,2024-05-01 18:00:00,,-4.646065573770493,-42.846566804353664
2024-05-01 19:00:00,2024,122,19,12.5,6.9,20,1,2024-05-01 19:00:00,,-3.824098360655738,-44.90339478930395
2024-05-01 20:00:00,2024,122,20,10.4,15.3,20,5,2024-05-01 20:00:00,,-1.4239344262295082,-26.440148525665144
2024-05-01 21:00:00,2024,122,21,11.6,12.0,10,1,2024-05-01 21:00:00,,-0.9888524590163934,-20.866640181671595
