Shift,Correlation,Shift_Hours,In_95_CI
-8,0.03007259158139903,-25.337660817777778,False
-7,0.12382066784108918,-22.170453215555554,False
-6,0.26849825168441566,-19.003245613333334,False
-5,0.4458288001692309,-15.83603801111111,False
-4,0.5909397091949968,-12.668830408888889,False
-3,0.7021745289099236,-9.501622806666667,False
-2,0.7894808859320447,-6.334415204444444,True
-1,0.8521289242490243,-3.167207602222222,True
0,0.8230317991950266,0.0,True
1,0.6773507719670844,3.167207602222222,False
2,0.516511396711259,6.334415204444444,False
3,0.34850641910903407,9.501622806666667,False
4,0.20626153880830256,12.668830408888889,False
5,0.051421439222927724,15.83603801111111,False
6,-0.042715465395580667,19.003245613333334,False
7,-0.0595650897282393,22.170453215555554,False
