lag_h,index,r,n,r_ci_lo,r_ci_hi
-24.966666666666665,AE,0.06276264759457302,76,-0.16503217388695163,0.2842006282056722
-21.84583333333333,AE,0.15153084817080167,77,-0.07499739486672471,0.3631869798998301
-18.724999999999998,AE,0.2738529155693711,78,0.0546485890146559,0.4678745189043326
-15.604166666666666,AE,0.40866553642346853,79,0.2061822015737716,0.5775879745932977
-12.483333333333333,AE,0.5207624755833377,80,0.33993820063065616,0.6644547990596189
-9.362499999999999,AE,0.6347251712938035,81,0.4833632947429835,0.7492382826237961
-6.241666666666666,AE,0.7395324719217674,82,0.6224099930450844,0.8242606161142858
-3.120833333333333,AE,0.8061699395697568,83,0.7147637241769079,0.8704965093890229
0.0,AE,0.7959359528755673,84,0.7011942611663711,0.8630562418265628
3.120833333333333,AE,0.660447226069549,83,0.5186357996779001,0.7668933831958479
6.241666666666666,AE,0.5250263373857876,82,0.347622201588383,0.6661397084432331
9.362499999999999,AE,0.3723899360269208,81,0.16767035554093182,0.5463205012640695
12.483333333333333,AE,0.2928231936154849,80,0.07812917109145434,0.481560695290686
15.604166666666666,AE,0.13409342817170078,79,-0.08967991035737266,0.3449791352671077
18.724999999999998,AE,0.02551400255746418,78,-0.19814572835435967,0.24664830365193138
21.84583333333333,AE,0.008799665349067058,77,-0.21560810114513054,0.23232456830575962
-24.966666666666665,AL,0.0279321320654119,76,-0.19877923720481575,0.2518059117310448
-21.84583333333333,AL,-0.05620097769917387,77,-0.2767006637107239,0.1699208029295707
-18.724999999999998,AL,-0.16896411791960333,78,-0.37731176082070383,0.055663561985327396
-15.604166666666666,AL,-0.3029723089751188,79,-0.49118163596018993,-0.08773551321489127
-12.483333333333333,AL,-0.438052942487145,80,-0.60002201913365,-0.2415844886654588
-9.362499999999999,AL,-0.5920976978454335,81,-0.7176664207938083,-0.42923924033900157
-6.241666666666666,AL,-0.7167684728491562,82,-0.8080846178165367,-0.5918118225972011
-3.120833333333333,AL,-0.8085806641387027,83,-0.8721638099632216,-0.7181338827779143
0.0,AL,-0.833617762332655,84,-0.8891091214812888,-0.7539741622516715
3.120833333333333,AL,-0.7200823995384521,83,-0.809973083143427,-0.5971342652269145
6.241666666666666,AL,-0.6132572391183913,82,-0.7327511018701136,-0.457075484070919
9.362499999999999,AL,-0.44897745275963213,81,-0.6077495827473192,-0.25569101350736595
12.483333333333333,AL,-0.35510660467598604,80,-0.5332230476901877,-0.14684313641744767
15.604166666666666,AL,-0.1712180394466517,79,-0.37802096471206015,0.05185963317628871
18.724999999999998,AL,-0.02966074893850605,78,-0.25054174537037155,0.19415549212206518
21.84583333333333,AL,0.00512378473104122,77,-0.21911048374212078,0.22884396289984596
