lag_h,index,r,n,r_ci_lo,r_ci_hi
-25.335555555555555,AE,-0.042796993452021634,76,-0.2656928693985205,0.18444223186713252
-22.16861111111111,AE,0.045502500574663166,77,-0.18031806972355569,0.2667664844052625
-19.001666666666665,AE,0.1609861266640848,78,-0.06383548854397753,0.3702563996248668
-15.834722222222222,AE,0.2993158183661791,79,0.0837439120165264,0.48812459135467196
-12.667777777777777,AE,0.4190963624782407,80,0.21959696889602526,0.5849523061215378
-9.500833333333333,AE,0.524817567965993,81,0.34612917531540077,0.6667627504562579
-6.333888888888889,AE,0.6098257275346761,82,0.4527282976825303,0.7302025276974078
-3.1669444444444443,AE,0.6724747863486638,83,0.5342776609599479,0.7756598594068231
0.0,AE,0.7115256870010856,84,0.5866150433888421,0.8033702394925281
3.1669444444444443,AE,0.7305475283312055,83,0.6111568799009756,0.817434214073693
6.333888888888889,AE,0.7125597172076151,82,0.5861938053972521,0.8050787330471889
9.500833333333333,AE,0.6221261655675415,81,0.46724497426544764,0.739960747986594
12.667777777777777,AE,0.5101804350122355,80,0.3271300084596229,0.6563286029271124
15.834722222222222,AE,0.42781841635958506,79,0.228300586270476,0.5928509543952544
19.001666666666665,AE,0.36146797459668645,78,0.15108654191717233,0.5405234272718248
22.16861111111111,AE,0.27263097093624306,77,0.05181204689082463,0.46803347868624046
-25.335555555555555,AL,0.08607150674066315,76,-0.14214648102791055,0.305600673232927
-22.16861111111111,AL,-0.002250191556401559,77,-0.22611903519189727,0.221844427556811
-19.001666666666665,AL,-0.1178331091794009,78,-0.3316707616295722,0.10752101088441413
-15.834722222222222,AL,-0.24768744413554744,79,-0.4444599300080895,-0.028112772070483828
-12.667777777777777,AL,-0.38725470145233254,80,-0.5593791029753268,-0.18311475122911192
-9.500833333333333,AL,-0.4872238635977172,81,-0.6377309153171721,-0.30088030923833997
-6.333888888888889,AL,-0.580181528556387,82,-0.7080455039764206,-0.4154821384298226
-3.1669444444444443,AL,-0.6454133406955955,83,-0.7558795559218145,-0.4992167862486128
0.0,AL,-0.7147212255993849,84,-0.8056639022469839,-0.5908634979882591
3.1669444444444443,AL,-0.7373412399346336,83,-0.8222622453496455,-0.6203003225278446
6.333888888888889,AL,-0.7264519392590075,82,-0.8149825194226036,-0.6047839666227872
9.500833333333333,AL,-0.6423701509211788,81,-0.7548459957433936,-0.4931940538242344
12.667777777777777,AL,-0.5301559992299565,80,-0.6716399480908658,-0.3513643279008466
15.834722222222222,AL,-0.4562103341971314,79,-0.6152604837191098,-0.2614718862478801
19.001666666666665,AL,-0.3830545179610215,78,-0.5580218147053695,-0.17547807355029169
22.16861111111111,AL,-0.28536359962130836,77,-0.47874658284868177,-0.06557192140784729
