Shift,Correlation,Shift_Hours,In_95_CI
-8,-0.28098040484167763,-25.337660817777778,False
-7,-0.24360931341533046,-22.170453215555554,False
-6,-0.14829079373797724,-19.003245613333334,False
-5,0.001533528223140377,-15.83603801111111,False
-4,0.20131758817729553,-12.668830408888889,False
-3,0.37437770776682106,-9.501622806666667,False
-2,0.5600512335243449,-6.334415204444444,False
-1,0.7029504308708839,-3.167207602222222,False
0,0.811380535952954,0.0,True
1,0.8395192196571124,3.167207602222222,True
2,0.7990093617155953,6.334415204444444,True
3,0.6913567569666986,9.501622806666667,False
4,0.564845261102548,12.668830408888889,False
5,0.42609469935107885,15.83603801111111,False
6,0.29775745382734975,19.003245613333334,False
7,0.17638865188704989,22.170453215555554,False
