index,month,n,time_step_h,peak_r,r_lower,r_upper,peak_lag_h,ci_min_h,ci_max_h,sigma_minus_h,sigma_plus_h,half_width_h
PCN,2405,84,3.167207602222222,0.8022026533450585,0.7099024449867649,0.8674128939722725,0.0,-6.334415204444444,3.167207602222222,6.334415204444444,3.167207602222222,4.7508114033333335
PCN,2410,84,3.167207602222222,0.8521289242490243,0.7802860168067799,0.9017764589082993,-3.167207602222222,-6.334415204444444,0.0,3.167207602222222,3.167207602222222,3.167207602222222
Dst_index_nT,2405,84,3.167207602222222,0.8151445280648725,0.7279719508480322,0.8763807324061716,3.167207602222222,-3.167207602222222,6.334415204444444,6.334415204444444,3.167207602222222,4.7508114033333335
Dst_index_nT,2410,84,3.167207602222222,0.8395192196571124,0.7623360449614826,0.8931562182690311,3.167207602222222,0.0,6.334415204444444,3.167207602222222,3.167207602222222,3.167207602222222
PCN_combined,0,168,,,,,-2.192682186153846,,,,,2.635276017658056
