event,index,peak_r,peak_lag_h,n,r_ci_lo,r_ci_hi,cadence_h
May,PCN_paper,0.8022026533450581,0.0,84,0.70990045997497,0.86741388477363,3.1669444444444443
May,AE,0.7305475283312055,3.1669444444444443,83,0.6111568799009756,0.817434214073693,3.1669444444444443
May,AL,-0.7373412399346336,3.1669444444444443,83,-0.8222622453496455,-0.6203003225278446,3.1669444444444443
May,PC,0.7915548087679098,-3.1669444444444443,83,0.6944224603153036,0.8603567143401898,3.1669444444444443
May,Dst,-0.8047223359922474,3.1669444444444443,83,-0.8694946106842283,-0.7127420329026425,3.1669444444444443
Oct,PCN_paper,0.8521289242490236,-3.120833333333333,83,0.7797531357459192,0.9020303595522456,3.120833333333333
Oct,AE,0.8061699395697568,-3.120833333333333,83,0.7147637241769079,0.8704965093890229,3.120833333333333
Oct,AL,-0.833617762332655,0.0,84,-0.8891091214812888,-0.7539741622516715,3.120833333333333
Oct,PC,0.8417665844410069,-3.120833333333333,83,0.7649625546153631,0.8949666457856253,3.120833333333333
Oct,Dst,-0.8254005869015926,3.120833333333333,83,-0.8837558115014518,-0.7417665547167782,3.120833333333333
