Shift,Correlation,Shift_Hours,In_95_CI
-8,-0.21709952263203,-25.337660817777778,False
-7,-0.1252582155178301,-22.170453215555554,False
-6,-0.0048154621154506356,-19.003245613333334,False
-5,0.13114533415330967,-15.83603801111111,False
-4,0.2941727797971159,-12.668830408888889,False
-3,0.4610329588688673,-9.501622806666667,False
-2,0.6221505875080257,-6.334415204444444,False
-1,0.74050864690271,-3.167207602222222,True
0,0.8045808165641357,0.0,True
1,0.8151445280648725,3.167207602222222,True
2,0.7791860617755297,6.334415204444444,True
3,0.7024347880716008,9.501622806666667,False
4,0.5841745999568438,12.668830408888889,False
5,0.4637339935635853,15.83603801111111,False
6,0.3701173284168953,19.003245613333334,False
7,0.3025667081544732,22.170453215555554,False
