Month,Value_Index,Slope,Intercept,Peak_Correlation,Peak_Shift_index,Peak_Shift_Hours
2407,irr_256,159.4422908900117,-0.027165054104234424,0.7509019603770569,-2,-6.314733592901234
2408,irr_256,392.14765333652065,-0.06802252077801425,0.757324463337117,-6,-18.891978556851853
2409,irr_256,325.6500879522184,-0.060379714625905,0.7737712762895004,-9,-28.338128653611115
2407,irr_284,146.76905557791954,-0.02524008859820695,0.8091869820690936,-4,-12.629467185802469
2408,irr_284,263.84006970714654,-0.04932590498244696,0.7437650008334277,-16,-50.37860948493827
2409,irr_284,206.49506342019683,-0.043172895213298576,0.7727442356495534,-9,-28.338128653611115
2407,irr_304,72.7979117474702,-0.04237930742754799,0.79162778722904,-17,-53.67523553966049
2408,irr_304,114.17868251608832,-0.0680608519811114,0.6935700808282373,-19,-59.8245987633642
2409,irr_304,95.03711206166048,-0.0608737175844046,0.7099160758169847,-17,-53.52757634570988
2407,irr_1175,629.8736859940637,-0.07060729802012441,0.7411041275474043,-17,-53.67523553966049
2408,irr_1175,915.741740144779,-0.1062487463402551,0.6298137346565317,-2,-6.297326185617284
2409,irr_1175,855.6789917166508,-0.10449231370857597,0.774053625632029,-17,-53.52757634570988
2407,irr_1216,5.664704140813143,-0.05361097578012085,0.7733533329060603,-17,-53.67523553966049
2408,irr_1216,8.748869068487524,-0.0841319336951842,0.7115386308756171,-13,-40.93262020651235
2409,irr_1216,7.540698992169826,-0.07814710843098341,0.7339469520371815,-25,-78.71702403780864
2407,irr_1335,168.524902330292,-0.047226780580024,0.7706158288169119,-18,-56.83260233611111
2408,irr_1335,287.55753910530143,-0.08255342982255469,0.6966057006606645,-19,-59.8245987633642
2409,irr_1335,262.29562770860787,-0.08003782862018576,0.7216941801268075,-17,-53.52757634570988
2407,irr_1405,306.44695318597326,-0.053936475072138876,0.7668795564010453,-17,-53.67523553966049
2408,irr_1405,596.0145421238777,-0.10872715493643989,0.7408307891007214,-15,-47.229946392129634
2409,irr_1405,491.8733657747756,-0.09484239132140902,0.7590236026996953,-9,-28.338128653611115
