UTC_Time,YEAR,DOY,Hour,Scalar_B_nT,SW_Proton_Density_N_cm3,Kp_index,Dst_index_nT
2024-10-01 00:00:00,2024,275,0,6.7,4.0,13,-4
2024-10-01 01:00:00,2024,275,1,7.0,4.0,13,-3
2024-10-01 02:00:00,2024,275,2,6.7,3.8,13,-4
2024-10-01 03:00:00,2024,275,3,6.9,3.4,20,-4
2024-10-01 04:00:00,2024,275,4,6.7,3.4,20,-5
2024-10-01 05:00:00,2024,275,5,7.2,2.9,20,-5
2024-10-01 06:00:00,2024,275,6,7.0,2.8,13,1
2024-10-01 07:00:00,2024,275,7,6.8,2.9,13,6
2024-10-01 08:00:00,2024,275,8,6.7,2.8,13,6
2024-10-01 09:00:00,2024,275,9,6.7,2.7,7,5
2024-10-01 10:00:00,2024,275,10,6.4,2.8,7,4
2024-10-01 11:00:00,2024,275,11,6.5,2.8,7,4
2024-10-01 12:00:00,2024,275,12,6.3,2.8,10,3
2024-10-01 13:00:00,2024,275,13,6.1,3.1,10,3
2024-10-01 14:00:00,2024,275,14,5.7,3.7,10,4
2024-10-01 15:00:00,2024,275,15,5.5,4.0,20,6
2024-10-01 16:00:00,2024,275,16,5.6,4.0,20,3
2024-10-01 17:00:00,2024,275,17,5.6,4.1,20,3
2024-10-01 18:00:00,2024,275,18,5.4,4.2,13,1
2024-10-01 19:00:00,2024,275,19,5.6,4.3,13,3
2024-10-01 20:00:00,2024,275,20,5.6,4.2,13,8
2024-10-01 21:00:00,2024,275,21,5.5,4.3,10,9
2024-10-01 22:00:00,2024,275,22,5.1,4.2,10,8
2024-10-01 23:00:00,2024,275,23,5.1,4.3,10,8
2024-10-02 00:00:00,2024,276,0,5.2,4.3,20,9
2024-10-02 01:00:00,2024,276,1,5.7,4.4,20,10
2024-10-02 02:00:00,2024,276,2,5.2,4.2,20,9
2024-10-02 03:00:00,2024,276,3,5.4,4.0,17,9
2024-10-02 04:00:00,2024,276,4,5.7,5.6,17,15
2024-10-02 05:00:00,2024,276,5,5.8,5.9,17,21
2024-10-02 06:00:00,2024,276,6,5.2,6.2,17,14
2024-10-02 07:00:00,2024,276,7,5.3,5.8,17,14
2024-10-02 08:00:00,2024,276,8,5.3,5.7,17,14
2024-10-02 09:00:00,2024,276,9,5.1,5.5,13,11
2024-10-02 10:00:00,2024,276,10,5.1,5.6,13,11
2024-10-02 11:00:00,2024,276,11,5.4,5.7,13,12
2024-10-02 12:00:00,2024,276,12,5.5,5.6,20,12
2024-10-02 13:00:00,2024,276,13,5.4,5.3,20,13
2024-10-02 14:00:00,2024,276,14,5.7,5.5,20,16
2024-10-02 15:00:00,2024,276,15,5.3,5.7,7,18
2024-10-02 16:00:00,2024,276,16,5.1,5.6,7,15
2024-10-02 17:00:00,2024,276,17,5.1,5.5,7,14
2024-10-02 18:00:00,2024,276,18,5.1,5.8,13,15
2024-10-02 19:00:00,2024,276,19,5.5,5.7,13,15
2024-10-02 20:00:00,2024,276,20,6.0,5.9,13,13
2024-10-02 21:00:00,2024,276,21,6.0,5.8,10,11
2024-10-02 22:00:00,2024,276,22,6.3,6.4,10,11
2024-10-02 23:00:00,2024,276,23,5.7,7.6,10,13
2024-10-03 00:00:00,2024,277,0,5.0,8.4,10,18
2024-10-03 01:00:00,2024,277,1,5.7,7.6,10,22
2024-10-03 02:00:00,2024,277,2,5.1,8.6,10,21
2024-10-03 03:00:00,2024,277,3,6.3,10.1,13,23
2024-10-03 04:00:00,2024,277,4,6.8,10.4,13,23
2024-10-03 05:00:00,2024,277,5,5.9,10.3,13,21
2024-10-03 06:00:00,2024,277,6,6.0,9.2,17,22
2024-10-03 07:00:00,2024,277,7,6.1,8.0,17,23
2024-10-03 08:00:00,2024,277,8,5.4,8.3,17,23
2024-10-03 09:00:00,2024,277,9,5.3,8.7,17,25
2024-10-03 10:00:00,2024,277,10,5.5,8.3,17,21
2024-10-03 11:00:00,2024,277,11,6.0,8.4,17,17
2024-10-03 12:00:00,2024,277,12,6.3,9.6,30,14
2024-10-03 13:00:00,2024,277,13,6.1,8.8,30,5
2024-10-03 14:00:00,2024,277,14,6.1,8.2,30,-1
2024-10-03 15:00:00,2024,277,15,7.4,7.8,13,4
2024-10-03 16:00:00,2024,277,16,8.1,7.0,13,11
2024-10-03 17:00:00,2024,277,17,8.4,7.4,13,13
2024-10-03 18:00:00,2024,277,18,8.4,7.5,23,13
2024-10-03 19:00:00,2024,277,19,7.9,8.2,23,9
2024-10-03 20:00:00,2024,277,20,7.6,7.9,23,6
2024-10-03 21:00:00,2024,277,21,6.6,8.8,20,8
2024-10-03 22:00:00,2024,277,22,6.9,8.3,20,11
2024-10-03 23:00:00,2024,277,23,7.3,8.5,20,13
2024-10-04 00:00:00,2024,278,0,7.0,8.2,17,16
2024-10-04 01:00:00,2024,278,1,8.1,7.2,17,18
2024-10-04 02:00:00,2024,278,2,8.3,6.6,17,17
2024-10-04 03:00:00,2024,278,3,8.3,6.5,17,18
2024-10-04 04:00:00,2024,278,4,8.0,6.5,17,16
2024-10-04 05:00:00,2024,278,5,8.1,6.3,17,19
2024-10-04 06:00:00,2024,278,6,8.0,6.3,13,22
2024-10-04 07:00:00,2024,278,7,7.8,6.3,13,22
2024-10-04 08:00:00,2024,278,8,7.4,6.6,13,21
2024-10-04 09:00:00,2024,278,9,7.6,6.5,10,21
2024-10-04 10:00:00,2024,278,10,7.2,6.6,10,20
2024-10-04 11:00:00,2024,278,11,7.0,6.2,10,20
2024-10-04 12:00:00,2024,278,12,7.7,6.3,17,20
2024-10-04 13:00:00,2024,278,13,7.7,5.1,17,19
2024-10-04 14:00:00,2024,278,14,7.7,4.7,17,18
2024-10-04 15:00:00,2024,278,15,7.6,4.5,23,12
2024-10-04 16:00:00,2024,278,16,8.0,4.8,23,15
2024-10-04 17:00:00,2024,278,17,7.7,4.5,23,14
2024-10-04 18:00:00,2024,278,18,7.5,4.5,23,4
2024-10-04 19:00:00,2024,278,19,7.4,4.7,23,3
2024-10-04 20:00:00,2024,278,20,7.0,4.7,23,3
2024-10-04 21:00:00,2024,278,21,7.3,5.3,30,-4
2024-10-04 22:00:00,2024,278,22,7.1,5.3,30,-4
2024-10-04 23:00:00,2024,278,23,7.0,5.1,30,-2
2024-10-05 00:00:00,2024,279,0,6.9,4.9,23,2
2024-10-05 01:00:00,2024,279,1,7.2,4.5,23,6
2024-10-05 02:00:00,2024,279,2,7.3,4.3,23,10
2024-10-05 03:00:00,2024,279,3,7.1,4.4,3,10
2024-10-05 04:00:00,2024,279,4,7.0,4.7,3,11
2024-10-05 05:00:00,2024,279,5,8.1,5.2,3,14
2024-10-05 06:00:00,2024,279,6,8.3,5.4,17,15
2024-10-05 07:00:00,2024,279,7,7.9,4.9,17,13
2024-10-05 08:00:00,2024,279,8,8.3,5.0,17,15
2024-10-05 09:00:00,2024,279,9,8.4,5.6,10,17
2024-10-05 10:00:00,2024,279,10,8.1,5.6,10,12
2024-10-05 11:00:00,2024,279,11,8.0,5.3,10,13
